"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Model_1 - Copy.nlogo"
"Experiment 4"
"08/25/2024 18:20:55:121 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","initial-idea1-holders","initial-idea2-holders","number-of-individuals","average-connections-per-individual","mean-threshold1","mean-threshold2","[step]","count turtles with [ Idea_state = 0 ] / count turtles","count turtles with [ Idea_state = 1 ] / count turtles","count turtles with [ Idea_state = 2 ] / count turtles"
"280","7","7","300","8","0","0.1","70","0","0.41333333333333333","0.5866666666666667"
"294","7","7","300","8","0","0.1","70","0","0.6833333333333333","0.31666666666666665"
"299","7","7","300","8","0","0.1","65","0","0.6266666666666667","0.37333333333333335"
"297","7","7","300","8","0","0.1","68","0","0.31333333333333335","0.6866666666666666"
"290","7","7","300","8","0","0.1","70","0","0.86","0.14"
"295","7","7","300","8","0","0.1","70","0","0.7166666666666667","0.2833333333333333"
"298","7","7","300","8","0","0.1","62","0","0.4666666666666667","0.5333333333333333"
"296","7","7","300","8","0","0.1","70","0","0.6333333333333333","0.36666666666666664"
"301","7","7","300","8","0","0.15","59","0","0.6933333333333334","0.30666666666666664"
"304","7","7","300","8","0","0.15","52","0","0.64","0.36"
"300","7","7","300","8","0","0.1","70","0","0.5233333333333333","0.4766666666666667"
"303","7","7","300","8","0","0.15","67","0","0.6433333333333333","0.3566666666666667"
"305","7","7","300","8","0","0.15","70","0","0.9","0.1"
"308","7","7","300","8","0","0.15","70","0","0.8166666666666667","0.18333333333333332"
"293","7","7","300","8","0","0.1","70","0","0.6766666666666666","0.3233333333333333"
"302","7","7","300","8","0","0.15","70","0","0.9133333333333333","0.08666666666666667"
"306","7","7","300","8","0","0.15","67","0","0.6066666666666667","0.3933333333333333"
"307","7","7","300","8","0","0.15","70","0","0.5733333333333334","0.4266666666666667"
"309","7","7","300","8","0","0.15","70","0","0.79","0.21"
"310","7","7","300","8","0","0.15","70","0","0.6266666666666667","0.37333333333333335"
"315","7","7","300","8","0","0.15","57","0","0.6833333333333333","0.31666666666666665"
"311","7","7","300","8","0","0.15","68","0","0.7933333333333333","0.20666666666666667"
"314","7","7","300","8","0","0.15","70","0","0.6533333333333333","0.3466666666666667"
"312","7","7","300","8","0","0.15","70","0","0.86","0.14"
"316","7","7","300","8","0","0.15","70","0","0.6466666666666666","0.35333333333333333"
"320","7","7","300","8","0","0.15","70","0","0.8833333333333333","0.11666666666666667"
"319","7","7","300","8","0","0.15","70","0","0.86","0.14"
"317","7","7","300","8","0","0.15","65","0","0.6166666666666667","0.38333333333333336"
"322","7","7","300","8","0","0.15","70","0","0.91","0.09"
"326","7","7","300","8","0","0.15","63","0","0.8333333333333334","0.16666666666666666"
