mean-threshold1,mean-threshold2,[run number],initial-idea1-holders,initial-idea2-holders,number-of-individuals,average-connections-per-individual,[step],count turtles with [ Idea_state = 0 ] / count turtles,count turtles with [ Idea_state = 1 ] / count turtles,count turtles with [ Idea_state = 2 ] / count turtles
0.5,0.15,21350.5,5.0,5.0,300.0,8.0,46.26,0.00026666667,0.0,0.99973333333
0.5,0.2,21450.5,5.0,5.0,300.0,8.0,48.3,0.00326666665,0.0,0.9967333333499999
0.5,0.25,21550.5,5.0,5.0,300.0,8.0,44.08,0.43600000004,0.008000000109999999,0.5560000000499999
0.5,0.3,21650.5,5.0,5.0,300.0,8.0,25.18,0.87863333346,0.01503333357,0.10633333348000001
0.5,0.35,21750.5,5.0,5.0,300.0,8.0,19.99,0.9595000002199999,0.01666666696,0.02383333359
0.5,0.4,21850.5,5.0,5.0,300.0,8.0,19.0,0.9652000002600001,0.01683333366,0.017966666949999998
0.5,0.45,21950.5,5.0,5.0,300.0,8.0,19.05,0.9663333336300001,0.01686666697,0.016800000319999998
0.5,0.5,22050.5,5.0,5.0,300.0,8.0,19.0,0.9662000002700001,0.01690000031,0.01690000031
0.5,0.55,22150.5,5.0,5.0,300.0,8.0,19.0,0.96653333365,0.016800000319999998,0.016666667
0.5,0.6,22250.5,5.0,5.0,300.0,8.0,19.0,0.9664000003000001,0.01693333365,0.016666667
0.5,0.65,22350.5,5.0,5.0,300.0,8.0,19.0,0.96653333365,0.016800000319999998,0.016666667
0.5,0.7,22450.5,5.0,5.0,300.0,8.0,19.0,0.96650000031,0.01683333365,0.016666667
0.5,0.75,22550.5,5.0,5.0,300.0,8.0,19.0,0.9665666669899999,0.016766666989999998,0.016666667
0.5,0.8,22650.5,5.0,5.0,300.0,8.0,19.0,0.96656666698,0.016766666989999998,0.016666667
0.5,0.85,22750.5,5.0,5.0,300.0,8.0,19.0,0.96660000032,0.016733333660000002,0.016666667
0.5,0.9,22850.5,5.0,5.0,300.0,8.0,19.0,0.966666667,0.016666667,0.016666667
0.5,0.95,22950.5,5.0,5.0,300.0,8.0,19.0,0.966666667,0.016666667,0.016666667
0.5,1.0,23050.5,5.0,5.0,300.0,8.0,19.0,0.96653333365,0.016800000319999998,0.016666667
0.55,0.0,23150.5,5.0,5.0,300.0,8.0,44.21,0.0,0.0,1.0
0.55,0.05,23250.5,5.0,5.0,300.0,8.0,42.73,0.0,0.0,1.0
0.55,0.1,23350.5,5.0,5.0,300.0,8.0,43.58,3.333333e-05,0.0,0.99996666667
0.55,0.15,23450.5,5.0,5.0,300.0,8.0,47.28,0.0005,0.0,0.9995
0.55,0.2,23550.5,5.0,5.0,300.0,8.0,49.65,0.00606666666,0.00016666666,0.99376666668
0.55,0.25,23650.5,5.0,5.0,300.0,8.0,47.66,0.33676666670000005,0.00586666673,0.65736666672
0.55,0.3,23750.5,5.0,5.0,300.0,8.0,21.96,0.8911333335,0.01560000027,0.09326666685
0.55,0.35,23850.5,5.0,5.0,300.0,8.0,20.02,0.95450000024,0.01643333365,0.029066666919999998
0.55,0.4,23950.5,5.0,5.0,300.0,8.0,19.0,0.96623333362,0.01670000033,0.017066666969999998
0.55,0.45,24050.5,5.0,5.0,300.0,8.0,19.0,0.9661333336300001,0.01670000033,0.017166666980000002
0.55,0.5,24150.5,5.0,5.0,300.0,8.0,19.0,0.96646666698,0.01670000033,0.01683333366
0.55,0.55,24250.5,5.0,5.0,300.0,8.0,19.0,0.96663333366,0.01670000033,0.016666667
0.55,0.6,24350.5,5.0,5.0,300.0,8.0,19.0,0.96663333366,0.01670000033,0.016666667
0.55,0.65,24450.5,5.0,5.0,300.0,8.0,19.0,0.966666667,0.016666667,0.016666667
0.55,0.7,24550.5,5.0,5.0,300.0,8.0,19.0,0.966566667,0.016766667,0.016666667
0.55,0.75,24650.5,5.0,5.0,300.0,8.0,19.0,0.966666667,0.016666667,0.016666667
0.55,0.8,24750.5,5.0,5.0,300.0,8.0,19.0,0.966666667,0.016666667,0.016666667
0.55,0.85,24850.5,5.0,5.0,300.0,8.0,19.0,0.966666667,0.016666667,0.016666667
